2026-07-18 00:44:28 status half-configured libsemanage-common:all 3.8.1-1
2026-07-18 00:44:28 status installed libsemanage-common:all 3.8.1-1
2026-07-18 00:44:28 configure debconf:all 1.5.91 <none>
2026-07-18 00:44:28 status unpacked debconf:all 1.5.91
2026-07-18 00:44:28 status half-configured debconf:all 1.5.91
2026-07-18 00:44:28 status installed debconf:all 1.5.91
2026-07-18 00:44:28 configure tzdata:all 2026b-0+deb13u1 <none>
2026-07-18 00:44:28 status unpacked tzdata:all 2026b-0+deb13u1
2026-07-18 00:44:28 status half-configured tzdata:all 2026b-0+deb13u1
2026-07-18 00:44:28 status installed tzdata:all 2026b-0+deb13u1
2026-07-18 00:44:28 configure ncurses-base:all 6.5+20250216-2 <none>
2026-07-18 00:44:28 status unpacked ncurses-base:all 6.5+20250216-2
2026-07-18 00:44:28 status half-configured ncurses-base:all 6.5+20250216-2
2026-07-18 00:44:28 status installed ncurses-base:all 6.5+20250216-2
2026-07-18 00:44:28 configure init-system-helpers:all 1.69~deb13u1 <none>
2026-07-18 00:44:28 status unpacked init-system-helpers:all 1.69~deb13u1
2026-07-18 00:44:28 status half-configured init-system-helpers:all 1.69~deb13u1
2026-07-18 00:44:28 status installed init-system-helpers:all 1.69~deb13u1
2026-07-18 00:44:28 configure libgcc-s1:amd64 14.2.0-19 <none>
2026-07-18 00:44:28 status unpacked libgcc-s1:amd64 14.2.0-19
2026-07-18 00:44:28 status half-configured libgcc-s1:amd64 14.2.0-19
2026-07-18 00:44:28 status installed libgcc-s1:amd64 14.2.0-19
2026-07-18 00:44:29 configure libc6:amd64 2.41-12+deb13u3 <none>
2026-07-18 00:44:29 status unpacked libc6:amd64 2.41-12+deb13u3
2026-07-18 00:44:29 status half-configured libc6:amd64 2.41-12+deb13u3
2026-07-18 00:44:29 status installed libc6:amd64 2.41-12+deb13u3
2026-07-18 00:44:29 configure libdb5.3t64:amd64 5.3.28+dfsg2-9 <none>
2026-07-18 00:44:29 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-07-18 00:44:29 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-07-18 00:44:29 status installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-07-18 00:44:29 configure libmd0:amd64 1.1.0-2+b1 <none>
2026-07-18 00:44:29 status unpacked libmd0:amd64 1.1.0-2+b1
2026-07-18 00:44:29 status half-configured libmd0:amd64 1.1.0-2+b1
2026-07-18 00:44:29 status installed libmd0:amd64 1.1.0-2+b1
2026-07-18 00:44:29 configure libxxhash0:amd64 0.8.3-2 <none>
2026-07-18 00:44:29 status unpacked libxxhash0:amd64 0.8.3-2
2026-07-18 00:44:29 status half-configured libxxhash0:amd64 0.8.3-2
2026-07-18 00:44:29 status installed libxxhash0:amd64 0.8.3-2
2026-07-18 00:44:29 configure libattr1:amd64 1:2.5.2-3 <none>
2026-07-18 00:44:29 status unpacked libattr1:amd64 1:2.5.2-3
2026-07-18 00:44:29 status half-configured libattr1:amd64 1:2.5.2-3
2026-07-18 00:44:29 status installed libattr1:amd64 1:2.5.2-3
2026-07-18 00:44:29 configure sysvinit-utils:amd64 3.14-4 <none>
2026-07-18 00:44:29 status unpacked sysvinit-utils:amd64 3.14-4
2026-07-18 00:44:29 status half-configured sysvinit-utils:amd64 3.14-4
2026-07-18 00:44:29 status installed sysvinit-utils:amd64 3.14-4
2026-07-18 00:44:29 configure debianutils:amd64 5.23.2 <none>
2026-07-18 00:44:29 status unpacked debianutils:amd64 5.23.2
2026-07-18 00:44:29 status half-configured debianutils:amd64 5.23.2
2026-07-18 00:44:29 status installed debianutils:amd64 5.23.2
